arm,stake,seed,avg_quality_gap,avg_toxicity,total_welfare,accepted_interactions,gate_checks,gate_blocks,gate_blocks_low_quality,gate_blocks_honest,agents_below_bar,agents_below_bar_low_quality,spread_basis,mean_basis_deceptive,mean_basis_honest,mean_basis_opportunistic
control,5.0,42,0.03208671870608314,0.32206512783330427,217.63720695479157,245,2000,0,0,0,0,0,1.0,99.5,99.4,99.66666666666667
control,5.0,43,0.030774551754601386,0.31530853266913345,231.200650605881,253,2000,0,0,0,0,0,2.0,99.5,99.0,100.0
control,5.0,44,0.01860185045007067,0.321748886300292,228.82266236511322,256,2000,0,0,0,0,0,1.0,99.5,99.8,100.0
control,5.0,45,0.018805178817672758,0.32061043029553044,227.28601712107366,246,2000,0,0,0,0,0,1.0,99.5,99.4,100.0
control,5.0,46,0.0061968318646662916,0.3231726948383272,236.86025899512245,265,2000,0,0,0,0,0,1.0,99.5,99.6,99.66666666666667
control,100.0,42,-0.0007828180579693589,0.34086793510953134,137.958008879971,167,2000,930,370,560,5,2,1.0,99.5,99.4,99.66666666666667
control,100.0,43,0.03577752419988591,0.3482968696144107,137.2182917185424,178,2000,760,190,570,4,1,1.0,99.5,99.4,100.0
control,100.0,44,0.012336524659116874,0.33263436831346616,205.627644047769,244,2000,550,360,190,3,2,2.0,99.0,99.6,100.0
control,100.0,45,0.0038085079253392605,0.3438271900359556,156.2137405812428,195,2000,740,190,550,4,1,1.0,99.5,99.4,100.0
control,100.0,46,0.0035165630230700627,0.3341648122221351,129.46821051776183,152,2000,1120,560,560,6,3,7.0,96.5,99.2,97.66666666666667
control,101.0,42,0.0,0.0,0.0,0,2000,2000,1000,1000,10,5,0.0,100.0,100.0,100.0
control,101.0,43,0.0,0.0,0.0,0,2000,2000,1000,1000,10,5,0.0,100.0,100.0,100.0
control,101.0,44,0.0,0.0,0.0,0,2000,2000,1000,1000,10,5,0.0,100.0,100.0,100.0
control,101.0,45,0.0,0.0,0.0,0,2000,2000,1000,1000,10,5,0.0,100.0,100.0,100.0
control,101.0,46,0.0,0.0,0.0,0,2000,2000,1000,1000,10,5,0.0,100.0,100.0,100.0
payoff_res,5.0,42,0.03208671870608314,0.32206512783330427,217.63720695479157,245,2000,0,0,0,0,0,55.79968803615063,104.8120972691197,128.2846199948214,120.52997081414838
payoff_res,5.0,43,0.030774551754601386,0.31530853266913345,231.200650605881,253,2000,0,0,0,0,0,53.46851502244674,104.8276244628585,128.542247025172,124.27805551810133
payoff_res,5.0,44,0.01860185045007067,0.321748886300292,228.82266236511322,256,2000,0,0,0,0,0,55.70107180473177,104.068509064267,130.20540376636458,122.55287513491874
payoff_res,5.0,45,0.018768310076355828,0.3206721197743082,226.23768475232777,246,2000,0,0,0,0,0,59.41199255884537,102.92610670997612,130.37808901228158,121.49834209032255
payoff_res,5.0,46,0.0061968318646662916,0.3231726948383272,237.06025899512247,265,2000,0,0,0,0,0,67.84865685533603,104.74929020998601,132.958360363461,119.58995891928176
payoff_res,100.0,42,0.02015865333054536,0.32309516661884263,185.73127761898323,212,2000,302,153,149,0,0,45.86363188863635,103.74509114368408,123.87362571338684,117.95765558822693
payoff_res,100.0,43,0.0056363362096529925,0.31847794997371287,224.06436512766865,248,2000,83,18,65,0,0,52.100241077484554,105.13060976147162,128.06383730706443,123.16131968980115
payoff_res,100.0,44,-0.006701493400406477,0.3326238636485417,215.58231894180275,251,2000,157,70,87,0,0,56.024647767604904,103.80603034976119,128.44623272689665,120.57969820259902
payoff_res,100.0,45,0.009789099839750754,0.3257300499435668,218.56227049235716,249,2000,144,70,74,0,0,59.62015647575792,103.0870937018627,128.84675484471552,121.38476962168467
payoff_res,100.0,46,0.024805812093925867,0.30767689147603594,191.25880377532755,201,2000,399,391,8,2,2,62.10142613079067,99.24851818029396,123.39504840498401,112.59550846327322
payoff_res,101.0,42,0.0,0.0,0.0,0,2000,2000,1000,1000,10,5,0.0,100.0,100.0,100.0
payoff_res,101.0,43,0.0,0.0,0.0,0,2000,2000,1000,1000,10,5,0.0,100.0,100.0,100.0
payoff_res,101.0,44,0.0,0.0,0.0,0,2000,2000,1000,1000,10,5,0.0,100.0,100.0,100.0
payoff_res,101.0,45,0.0,0.0,0.0,0,2000,2000,1000,1000,10,5,0.0,100.0,100.0,100.0
payoff_res,101.0,46,0.0,0.0,0.0,0,2000,2000,1000,1000,10,5,0.0,100.0,100.0,100.0
cum_payoff,5.0,42,0.03208671870608314,0.32206512783330427,217.63720695479157,245,2000,0,0,0,0,0,55.84968803615067,105.31209726911968,128.9146199948214,120.81330414748172
cum_payoff,5.0,43,0.030774551754601386,0.31530853266913345,231.200650605881,253,2000,0,0,0,0,0,52.755278297546724,105.32762446285847,129.542247025172,124.27805551810134
cum_payoff,5.0,44,0.01860185045007067,0.321748886300292,228.82266236511322,256,2000,0,0,0,0,0,54.701071804731754,104.56850906426702,130.4054037663646,122.55287513491875
cum_payoff,5.0,45,0.018805178817672758,0.32061043029553044,227.28601712107366,246,2000,0,0,0,0,0,58.76178340633362,103.42784031180994,131.06098108764024,121.70847701975084
cum_payoff,5.0,46,0.0061968318646662916,0.3231726948383272,236.86025899512245,265,2000,0,0,0,0,0,67.84865685533622,105.24929020998601,133.35836036346103,119.85662558594842
cum_payoff,100.0,42,0.03208671870608314,0.32206512783330427,217.63720695479157,245,2000,0,0,0,0,0,55.84968803615067,105.31209726911968,128.9146199948214,120.81330414748172
