arm,stake,seed,avg_quality_gap,avg_toxicity,total_welfare,accepted_interactions,gate_checks,gate_blocks,gate_blocks_low_quality,gate_blocks_honest,slashed_total,slashed_low_quality,agents_below_bar,agents_below_bar_low_quality,spread_basis,mean_basis_deceptive,mean_basis_honest,mean_basis_opportunistic
control,99.0,42,-0.004237205694221519,0.2612277188727144,88.0537089427081,84,2000,955,505,450,20.0,20.0,6,3,15.0,100.0,93.4,92.0
control,99.0,43,0.021747083042347272,0.3233306903949005,168.35659176305523,194,2000,430,110,320,10.0,10.0,3,1,10.0,99.5,99.0,96.66666666666667
control,99.0,44,0.009808134963298215,0.31854306064358173,180.092864398212,198,2000,524,354,170,10.0,10.0,3,2,10.0,97.5,98.6,96.66666666666667
control,99.0,45,0.027112097589587186,0.316747527543058,225.63676712102816,241,2000,19,19,0,10.0,10.0,1,1,10.0,99.5,99.4,96.66666666666667
control,99.0,46,0.006057267361158425,0.31549595411127496,199.345664761769,215,2000,196,196,0,19.9,19.9,2,2,10.900000000000006,99.5,99.6,93.03333333333333
control,100.0,42,0.0,0.2537440495050081,77.49824906070984,72,2000,1067,547,520,20.0,20.0,6,3,19.0,100.0,90.4,87.0
control,100.0,43,0.005072069443766969,0.33833210664067825,122.72276283142348,149,2000,946,376,570,10.0,10.0,5,2,10.0,99.5,99.4,96.66666666666667
control,100.0,44,0.01186508512652835,0.2860946223576876,129.70374802369687,125,2000,1033,843,190,30.0,30.0,6,5,18.0,91.0,96.4,90.0
control,100.0,45,0.0038085079253392605,0.3438271900359556,156.2137405812428,195,2000,740,190,550,0.0,0.0,4,1,1.0,99.5,99.4,100.0
control,100.0,46,0.006345907353671148,0.28246941874362874,86.79436667257023,87,2000,1364,804,560,20.0,20.0,8,5,19.0,90.5,97.2,87.0
payoff_res,99.0,42,0.0022050488118648126,0.29618547261333533,147.3378420893593,147,2000,597,421,176,10.072929602104324,10.072929602104324,4,4,55.10554165573777,97.0142808948891,116.32080201750928,105.54411353664347
payoff_res,99.0,43,0.03079625053085454,0.3083280874046813,209.04542213660656,224,2000,101,101,0,10.842734508595575,10.842734508595575,0,0,55.64893533438574,103.4664778611955,127.72564685240357,115.5471658812008
payoff_res,99.0,44,0.009808134963298215,0.3184786805193827,180.87097329596614,199,2000,512,353,159,10.078515407253668,10.078515407253668,2,1,62.85753767010745,100.99363846019278,125.16172637584478,110.33218302970107
payoff_res,99.0,45,0.018768310076355828,0.3206721197743082,226.23117015280718,246,2000,0,0,0,11.894759795537121,11.894759795537121,0,0,59.41199255884537,102.92610670997612,130.37808901228158,117.5312506253033
payoff_res,99.0,46,0.005700665920210751,0.31845879838009367,216.40059045927896,237,2000,114,114,0,21.547136371809508,21.547136371809508,1,1,74.19443984438674,103.52183246979794,131.7145197627518,108.41239677803816
payoff_res,100.0,42,0.0009705747343125848,0.29611332457950856,147.26591674737034,147,2000,641,451,190,10.072929602104324,10.072929602104324,5,4,55.10554165573777,97.22491251416795,116.21935683559883,105.54879264631197
payoff_res,100.0,43,0.007020624312729912,0.3143565919456825,187.5862178121286,206,2000,274,204,70,10.207886602715043,10.207886602715043,1,1,57.058568495018434,103.53503518091485,125.72647382388926,112.55863057604583
payoff_res,100.0,44,-0.000909658198595531,0.2879286158147493,129.78693604582404,126,2000,870,680,190,30.912598563847432,30.912598563847432,5,4,71.20004442097527,92.25233718454975,119.7354794101096,93.23075535410972
payoff_res,100.0,45,0.009789099839750754,0.3257300499435668,218.5368384914993,249,2000,144,70,74,11.669120435616493,11.669120435616493,0,0,59.62015647575792,103.0870937018627,128.84675484471552,117.48658547619323
payoff_res,100.0,46,-0.0027479484834863678,0.2912217923313847,139.20807194168592,141,2000,747,579,168,21.03148127787747,21.03148127787747,4,3,61.40081549582487,92.68791030196677,115.94891666728567,96.3520622411488
cum_payoff,99.0,42,0.010714317172102566,0.3083695889682085,198.83117280806778,207,2000,191,191,0,10.072929602104324,10.072929602104324,1,1,67.794622929192,102.93585035594344,129.27517813507467,112.17021727290104
cum_payoff,99.0,43,0.03079625053085454,0.3083280874046813,209.04542213660656,224,2000,101,101,0,10.842734508595573,10.842734508595573,0,0,55.6489353343858,103.96647786119547,128.72564685240354,115.54716588120075
