arm,stake,seed,avg_quality_gap,avg_toxicity,total_welfare,accepted_interactions,gate_checks,gate_blocks,gate_blocks_low_quality,gate_blocks_honest,slashed_total,slashed_low_quality,agents_below_bar,agents_below_bar_low_quality,spread_basis,mean_basis_deceptive,mean_basis_honest,mean_basis_opportunistic
control,99.0,42,0.0,0.2463099387814819,70.70806766122925,63,2000,1047,557,490,20.0,20.0,6,3,19.0,100.0,89.6,87.0
control,99.0,43,0.0,0.25791126098005945,52.88861272711837,49,2000,1292,752,540,20.0,20.0,7,4,19.0,90.5,88.6,87.0
control,99.0,44,-0.0016178138470184012,0.2658934701774832,92.89057281525879,83,2000,916,576,340,30.0,30.0,5,3,18.0,100.0,92.8,90.0
control,99.0,45,0.009608809624733861,0.22947843495751571,61.12913417840119,55,2000,1089,579,510,30.0,30.0,6,3,18.0,99.5,89.0,90.0
control,99.0,46,-0.0022117557062143077,0.2678819664847538,101.08169810288564,93,2000,855,545,310,29.9,29.9,5,3,17.0,99.5,93.2,89.7
control,100.0,42,0.0,0.25063518288469827,68.4097832874347,60,2000,1097,567,530,20.0,20.0,6,3,19.0,100.0,90.0,87.0
control,100.0,43,0.0,0.25658358192600994,52.040431588796665,48,2000,1342,772,570,20.0,20.0,7,4,19.0,90.5,88.6,87.0
control,100.0,44,-0.0016178138470184012,0.2575849690804811,83.56616544810896,78,2000,936,576,360,30.0,30.0,5,3,18.0,100.0,92.8,90.0
control,100.0,45,0.009608809624733861,0.16348921500952476,36.26048494696323,32,2000,1680,950,730,30.0,30.0,9,5,28.0,81.5,85.4,84.0
control,100.0,46,0.0,0.2670842476374615,72.02889729873515,65,2000,1487,927,560,20.0,20.0,8,5,19.0,90.5,92.4,87.0
payoff_res,99.0,42,0.0,0.25367159696390884,116.12196045284983,100,2000,735,555,180,20.087883843598014,20.087883843598014,3,2,63.07282874616804,100.0,110.67957397398624,90.54540224644016
payoff_res,99.0,43,0.0,0.25791126098005945,52.88861272711837,49,2000,1262,752,510,20.0437005613747,20.0437005613747,7,4,43.623726224618125,90.5766112088859,99.12146181047511,87.0281268985321
payoff_res,99.0,44,-0.0016178138470184012,0.26123544964748185,124.42466292979127,113,2000,689,569,120,40.0936351152519,40.0936351152519,4,3,56.8922959537405,100.37208553218454,114.64585753382049,91.45252302702262
payoff_res,99.0,45,0.009608809624733861,0.22751881317224681,61.629789474075146,56,2000,987,573,414,40.01449482195069,40.01449482195069,6,3,35.36417841551258,99.56810219791961,98.79611708743403,90.83283493970502
payoff_res,99.0,46,-0.0022117557062143077,0.2692569507128143,137.13023918379267,122,2000,621,545,76,30.219806809817143,30.219806809817143,4,3,71.49295480285183,100.11514729195898,119.72343130480957,90.68766042200323
payoff_res,100.0,42,0.0,0.25367159696390884,116.22196045284983,100,2000,757,567,190,20.087883843598014,20.087883843598014,3,2,63.07282874616804,100.0,110.69957397398623,90.54540224644016
payoff_res,100.0,43,0.0,0.25658358192600994,52.040431588796665,48,2000,1312,772,540,20.0437005613747,20.0437005613747,7,4,43.70400027136493,90.5766112088859,99.05269850599232,86.8600053598962
payoff_res,100.0,44,-0.0016178138470184012,0.2639740053525261,111.3548174817354,104,2000,755,575,180,40.125713450617,40.125713450617,4,3,58.30688372404177,100.17685274330049,112.59102538084979,90.64009054675617
payoff_res,100.0,45,0.009608809624733861,0.16348921500952476,36.26048494696323,32,2000,1606,950,656,30.038173538001374,30.038173538001374,9,5,46.2354923172839,81.5,92.54346063618095,84.16833607601903
payoff_res,100.0,46,0.0,0.2721195032644673,117.94214232473662,112,2000,905,737,168,30.623417904581082,30.623417904581082,5,4,60.646249997130056,91.2465254017689,112.713794063431,88.41890109982093
cum_payoff,99.0,42,0.0,0.2601410878118395,141.08659347208663,123,2000,553,553,0,30.182162804393997,30.182162804393997,2,2,66.79420964004979,100.0,126.20603804362514,93.29141348318898
cum_payoff,99.0,43,0.0,0.2717270109561186,97.8052802298554,90,2000,441,441,0,40.19866141490601,40.19866141490601,3,3,42.00017513499125,100.0766112088859,116.45762879690544,91.7217508042168
cum_payoff,99.0,44,-0.0016178138470184012,0.26170299745666475,142.1081788083614,128,2000,575,575,0,40.03800563196748,40.03800563196748,3,3,63.64623454598174,100.16771696753929,125.78524369314268,90.9361735918673
cum_payoff,99.0,45,0.009608809624733861,0.22751881317224681,61.629789474075146,56,2000,573,573,0,40.01449482195069,40.01449482195069,3,3,28.037036180678726,100.06810219791961,109.79611708743403,90.83283493970502
cum_payoff,99.0,46,-0.0022117557062143077,0.2657105588559757,148.86630208432126,132,2000,545,545,0,30.319806809817145,30.319806809817145,3,3,76.12730267054587,100.61514729195898,128.8706438849153,90.98766042200324
cum_payoff,100.0,42,0.0,0.2601410878118395,141.08659347208663,123,2000,553,553,0,30.182162804393997,30.182162804393997,3,3,66.79420964004979,100.0,126.20603804362514,93.29141348318898
cum_payoff,100.0,43,0.0,0.2706435000945543,92.75278603078567,86,2000,434,434,0,40.11583890268832,40.11583890268832,3,3,41.127799365665595,100.0766112088859,115.95611402283005,90.90105153205845
cum_payoff,100.0,44,-0.0016178138470184012,0.2623762432633148,142.66404646603192,128,2000,575,575,0,40.13821120233388,40.13821120233388,3,3,63.39465079833607,100.22452755722907,125.7133601660175,91.16999310638414
cum_payoff,100.0,45,0.009608809624733861,0.2301901444899777,61.23441606842423,56,2000,572,572,0,40.13590093977421,40.13590093977421,3,3,27.684946273152306,100.06810219791961,109.6357653855923,90.92782793494978
cum_payoff,100.0,46,-0.0022117557062143077,0.2657105588559757,148.86630208432126,132,2000,545,545,0,30.319806809817145,30.319806809817145,3,3,76.12730267054587,100.61514729195898,128.8706438849153,90.98766042200324
