arm,stake,seed,avg_quality_gap,avg_toxicity,total_welfare,accepted_interactions,gate_checks,gate_blocks,gate_blocks_low_quality,gate_blocks_honest,slashed_total,slashed_low_quality,agents_below_bar,agents_below_bar_low_quality,spread_basis,mean_basis_deceptive,mean_basis_honest,mean_basis_opportunistic
control,99.0,42,0.032081814382237735,0.32208994998786034,217.5970504434925,245,2000,0,0,0,0.0,0.0,0,0,1.0,99.5,99.4,99.66666666666667
control,99.0,43,0.006870434436171499,0.3353686503228522,176.8058978865254,214,2000,320,0,320,0.0,0.0,2,0,2.0,99.5,99.0,100.0
control,99.0,44,0.018647584281482936,0.32181752014245696,228.70793988056124,256,2000,0,0,0,0.0,0.0,0,0,1.0,99.5,99.8,100.0
control,99.0,45,0.018805178817672758,0.32061043029553044,227.27950252155304,246,2000,0,0,0,0.0,0.0,0,0,1.0,99.5,99.4,100.0
control,99.0,46,0.0061968318646662916,0.323180279755867,236.8395828014106,265,2000,0,0,0,0.0,0.0,0,0,1.0,99.5,99.6,99.66666666666667
control,100.0,42,-0.0007822408299589023,0.3408783683140505,137.9462569862979,167,2000,930,370,560,0.0,0.0,5,2,1.0,99.5,99.4,99.66666666666667
control,100.0,43,0.035819398781588366,0.34831216898418316,137.1974015865874,178,2000,760,190,570,0.0,0.0,4,1,1.0,99.5,99.4,100.0
control,100.0,44,0.012308739781773628,0.332762510830815,205.42824536207792,244,2000,550,360,190,0.0,0.0,3,2,2.0,99.0,99.6,100.0
control,100.0,45,0.0038085079253392605,0.3438271900359556,156.2137405812428,195,2000,740,190,550,0.0,0.0,4,1,1.0,99.5,99.4,100.0
control,100.0,46,0.0035165630230700627,0.33428317586904965,129.37725040950295,152,2000,1120,560,560,0.0,0.0,6,3,7.0,96.5,99.2,97.66666666666667
payoff_res,99.0,42,0.032081814382237735,0.32208994998786034,217.5970504434925,245,2000,0,0,0,0.0,0.0,0,0,55.79937080529089,104.81012732565246,128.28367635584686,120.5194713376511
payoff_res,99.0,43,0.030774551754601386,0.31530853266913345,231.16611659615296,253,2000,0,0,0,0.0,0.0,0,0,53.46851502244674,104.8276244628585,128.542247025172,124.2665441815253
payoff_res,99.0,44,0.018647584281482936,0.32181752014245696,228.70793988056124,256,2000,0,0,0,0.0,0.0,0,0,55.7012339097771,104.0663293374487,130.20246867947813,122.52097926942437
payoff_res,99.0,45,0.018768310076355828,0.3206721197743082,226.23117015280718,246,2000,0,0,0,0.0,0.0,0,0,59.41199255884537,102.92610670997612,130.37808901228158,121.49617055714901
payoff_res,99.0,46,0.0061968318646662916,0.323180279755867,237.03958280141057,265,2000,0,0,0,0.0,0.0,0,0,67.84927232075489,104.74898247727657,132.95784749858925,119.58412678463705
payoff_res,100.0,42,0.020163632434508715,0.3231120076616155,185.71559786530298,212,2000,302,153,149,0.0,0.0,0,0,45.86365846022581,103.74439199421175,123.8731867021382,117.95362678872947
payoff_res,100.0,43,0.005656295791187443,0.3184976454816181,223.99358131792195,248,2000,83,18,65,0.0,0.0,0,0,52.099246028634255,105.12930763042857,128.06291551373297,123.14012949613338
payoff_res,100.0,44,-0.006724620951587934,0.33270088577332735,215.4418888396524,251,2000,157,70,87,0.0,0.0,0,0,56.031191921925256,103.80020766662096,128.44379501249392,120.54083281464698
payoff_res,100.0,45,0.009789099839750754,0.3257300499435668,218.5368384914993,249,2000,144,70,74,0.0,0.0,0,0,59.62015647575792,103.0870937018627,128.84675484471552,121.37629228806539
payoff_res,100.0,46,0.024886217225328758,0.30780659628843854,191.09724333770396,201,2000,399,391,8,0.0,0.0,2,2,62.10179390017319,99.24508201258061,123.3912468029469,112.55028176593612
cum_payoff,99.0,42,0.032081814382237735,0.32208994998786034,217.5970504434925,245,2000,0,0,0,0.0,0.0,0,0,55.84937080529092,105.31012732565247,128.91367635584686,120.80280467098443
cum_payoff,99.0,43,0.030774551754601386,0.31530853266913345,231.16611659615296,253,2000,0,0,0,0.0,0.0,0,0,52.755278297546724,105.32762446285847,129.542247025172,124.26654418152532
cum_payoff,99.0,44,0.018647584281482936,0.32181752014245696,228.70793988056124,256,2000,0,0,0,0.0,0.0,0,0,54.70123390977706,104.5663293374487,130.40246867947812,122.52097926942439
cum_payoff,99.0,45,0.018805178817672758,0.32061043029553044,227.27950252155304,246,2000,0,0,0,0.0,0.0,0,0,58.76178340633362,103.42784031180994,131.06098108764024,121.7063054865773
cum_payoff,99.0,46,0.0061968318646662916,0.323180279755867,236.8395828014106,265,2000,0,0,0,0.0,0.0,0,0,67.84927232075508,105.24898247727658,133.35784749858928,119.85079345130369
cum_payoff,100.0,42,0.032081814382237735,0.32208994998786034,217.5970504434925,245,2000,0,0,0,0.0,0.0,0,0,55.84937080529092,105.31012732565247,128.91367635584686,120.80280467098443
cum_payoff,100.0,43,0.030774551754601386,0.31530853266913345,231.16611659615296,253,2000,0,0,0,0.0,0.0,0,0,52.755278297546724,105.32762446285847,129.542247025172,124.26654418152532
cum_payoff,100.0,44,0.018647584281482936,0.32181752014245696,228.70793988056124,256,2000,0,0,0,0.0,0.0,0,0,54.70123390977706,104.5663293374487,130.40246867947812,122.52097926942439
cum_payoff,100.0,45,0.018805178817672758,0.32061043029553044,227.27950252155304,246,2000,0,0,0,0.0,0.0,0,0,58.76178340633362,103.42784031180994,131.06098108764024,121.7063054865773
cum_payoff,100.0,46,0.0061968318646662916,0.323180279755867,236.8395828014106,265,2000,0,0,0,0.0,0.0,0,0,67.84927232075508,105.24898247727658,133.35784749858928,119.85079345130369
